dataset,metadata,color,split0,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10,split11,split12,split13,split14,split15,split16,split17,split18,split19
alr_prev_filt_DADA2,Age,plum,0.5260630421162549,0.5065367743336229,0.37663069270400096,0.45910811052224143,0.5579445510882708,0.6337647202352739,0.547583840954492,0.5807211796112246,0.5077704563992761,0.5603963851105749,0.5742677426683911,0.32347829068781486,0.5205737302642177,0.5824809804107349,0.6245868707033003,0.5559988418385813,0.5908449165129204,0.5387507136496164,0.4854639976076053,0.43457161710686676
clr_prev_filt_DADA2,Age,plum,0.49458028889662387,0.5084227063709443,0.5020241762148818,0.5183602825582088,0.5304814664665742,0.6142481255655621,0.5336760907241698,0.5681976644650264,0.43735583403430955,0.514293050477806,0.39846823493772365,0.5053876003790712,0.47849494119542446,0.5163624641732001,0.5485643483191193,0.517793183969487,0.4881929880135991,0.547976746611689,0.442792601414451,0.4057121125344104
raw_prev_filt_DADA2,Age,plum,0.37825061743722976,0.48011172649845757,0.6490811746745941,0.586405749853972,0.612491957494042,0.3764999346202582,0.6654334884288304,0.4174107717639559,0.4868083449366737,0.4445738502899417,0.468686999406528,0.5568201521523668,0.39868100023646247,0.6097406340166094,0.4897846556425365,0.5234776202454954,0.5888890107011899,0.40774496949084726,0.5127012691389647,0.5082356689666958
propotions_prev_filt_DADA2,Age,y,0.5920010795087265,0.586008291023671,0.6057660275847265,0.5743358576986443,0.5759052686128863,0.6385341114749861,0.561345448740753,0.6531631290027448,0.5201962344829345,0.5017010730879858,0.5318204918032785,0.569951349817946,0.5956987453681328,0.602187011156643,0.5681358851693481,0.5855144463932738,0.6214184124110882,0.6332166786624867,0.5042894314914694,0.44064004414785274
Heilinger_prev_filt_DADA2,Age,y,0.6280765680473372,0.6211675651902822,0.5687296629726032,0.590466084578892,0.6096986040335117,0.6484824007842462,0.5813968055897618,0.628925057338731,0.5718018340088196,0.5393531470926006,0.6127280063383318,0.5496835079056313,0.5833316593160947,0.585630374612123,0.5781772496397269,0.544216212171831,0.6441067230596071,0.6439068254181255,0.48079783320392033,0.43156964835127376
propotions_DADA2,Age,y,0.5935527228879716,0.565185161556105,0.5595988877559234,0.5626900945830604,0.6016292915443082,0.6701459667341749,0.5727725984912752,0.6264699344521174,0.5272424415640693,0.5148460142446241,0.5620356589418246,0.5525303998952564,0.5996617533631385,0.6106293833053036,0.5924122477103957,0.6130947165845373,0.6481670849723256,0.6243508081929414,0.5168758856057587,0.44281677320106017
Heilinger_DADA2,Age,y,0.6075394281736363,0.5981882824503977,0.5928989709394372,0.5501748020008338,0.6176762226852651,0.6668088960227516,0.6034329926388093,0.6317280176465427,0.5526499566669216,0.5963482921201523,0.5628568276882565,0.5813753348047286,0.6150554469751893,0.6596761642229433,0.5978834085378818,0.5874992225563074,0.6391017080330931,0.6492883540922012,0.5345197965415207,0.4970327563430579
rarefied_prev_filt_DADA2,Age,purple,0.40468435586923523,0.5590313708260106,0.582477175397718,0.5314089277891356,0.6029132741340472,0.32389099849019987,0.6674748030809982,0.5271356657991182,0.5823444097891348,0.4775976873338108,0.49954084569732915,0.5981335096836409,0.408814787253279,0.6123197349273654,0.5287482760137214,0.4679206748498579,0.5513470553019533,0.4768215059517854,0.46406915584793607,0.46303701053171265
rarefied_DADA2,Age,purple,0.3969722052966852,0.4297358302505929,0.6143936947613691,0.5769650208089954,0.6323382455682152,0.41863572969183893,0.6541566255402202,0.445245130928985,0.47589489545854546,0.47363637273467607,0.4572948136498515,0.5689979835793308,0.4154746053162339,0.6224235523245603,0.4736505321488257,0.5278189080444631,0.5704905185961235,0.3777515489646892,0.5112297618909007,0.45948216658477725
lognorm_prev_filt_DADA2,Age,y,0.6020918661429068,0.5991484267486139,0.6069545133764457,0.528418881379146,0.6017387572335462,0.6409553690696772,0.570344766439537,0.6649058585769968,0.5748999318141266,0.5586969018996344,0.6391329243711186,0.5786315876103546,0.602460409618173,0.5960943600919061,0.5501914282564356,0.540233231715805,0.6883705178635661,0.6468149720029767,0.5106756295775535,0.412617193798846
