dataset,metadata,color,split0,split1,split2,split3,split4,split5,split6,split7,split8,split9,split10,split11,split12,split13,split14,split15,split16,split17,split18,split19
alr_prev_filt_DADA2,Host_Age,plum,0.29667701889168385,0.37173302215615167,0.2767408945404808,0.3330772945033622,0.25171305558104085,0.2641556925450539,0.285473668491787,0.32146989032271844,0.3928277842909945,0.2424189010754768,0.3520517647325855,0.2275005428501382,0.28881287694698654,0.39499949597326467,0.32751026218299195,0.41392438016092903,0.3675506564592136,0.3419571960465746,0.26734823486148573,0.3694513449135318
clr_prev_filt_DADA2,Host_Age,plum,0.2940923777946839,0.32596851197779764,0.19245016740346133,0.31952353818875234,0.21903350830309276,0.26531142921692885,0.2774432465162182,0.30637564414557383,0.3574086625054853,0.2563307238201631,0.30971386364840015,0.2866359058592791,0.34215268794071196,0.3441378290444522,0.3131410308639768,0.3672473932649115,0.38076248727169393,0.3322522474952614,0.20880933439568516,0.3661104091414549
raw_prev_filt_DADA2,Host_Age,plum,0.356914426458544,0.3748448841984089,0.43258317403851987,0.4447963122531122,0.34709002655729215,0.4119596754177036,0.3904852198693157,0.30712411788962624,0.4543912063611094,0.43597842070164006,0.3410315331957522,0.33576177695658727,0.3415271312228354,0.3378667793472734,0.3561916622076309,0.4138515381424308,0.305645401058825,0.36306556094583464,0.27587607724247687,0.38443859612216635
propotions_prev_filt_DADA2,Host_Age,y,0.3656775255115493,0.4012688158242088,0.33846125831464613,0.40149940249573446,0.38034119766767716,0.3242056584975611,0.3004953885006648,0.4010792833204232,0.4640620357477355,0.3287692471662401,0.4128109863587873,0.36630109235456865,0.43090164139396736,0.4527080069913386,0.4426744332868765,0.48471573445935,0.40824108520800473,0.4336294408340102,0.2826341811718558,0.4360424028528701
Heilinger_prev_filt_DADA2,Host_Age,y,0.36158547187559686,0.40151587191902327,0.3134175289658717,0.4365047803686728,0.37457891383406305,0.32898753031073436,0.33498095625960234,0.3809226849402628,0.44909402794060804,0.3190614851408936,0.4064531409591975,0.3526859755542323,0.4352425260067033,0.43983829648860184,0.45630377899507013,0.4625363786800042,0.39362547256026104,0.43746668697535884,0.2607635572444227,0.43857838904865976
propotions_DADA2,Host_Age,y,0.3449801135087258,0.42424576812252546,0.3501414051141827,0.42990708440667746,0.3524007796532749,0.3517400517564222,0.3189169326774105,0.38306883069100306,0.44987423241922697,0.3552792872523729,0.43134243075363354,0.36794749588484577,0.4101340125329064,0.44700076735066085,0.4389769261269171,0.47411445310152367,0.3941188685327278,0.42551760763606816,0.25953212797254244,0.4341525874458376
Heilinger_DADA2,Host_Age,y,0.34966748527528013,0.40245289595473654,0.3379592460181009,0.43051513398681873,0.37871653766795055,0.38500243438251824,0.3119637975430908,0.39963531217466164,0.4499885745224793,0.3149932542400312,0.43679577372080536,0.3376649486919062,0.4282098301806033,0.44774505719784463,0.4387116518021995,0.45263473282565314,0.4135350703917008,0.4275321825074466,0.2650729038980141,0.4216152272709842
rarefied_prev_filt_DADA2,Host_Age,purple,0.3588704894734307,0.3848668231000564,0.403287380354054,0.41173579156399165,0.3879204472601854,0.3940293623719635,0.38313003786228284,0.31701319761606517,0.4011891484677461,0.4087553253372146,0.3483035606945115,0.34707993596839815,0.31874133800976023,0.33935003614783266,0.3094300467972032,0.3756787300891863,0.31721508904232143,0.332822571501145,0.29156494356200946,0.38905252906727084
rarefied_DADA2,Host_Age,purple,0.3884623801609094,0.370156060534362,0.4349451248793633,0.45704907819691154,0.35528695501430585,0.4027260623907277,0.3935795315328372,0.297322912695387,0.4314412436332351,0.4172205159346357,0.3477698058955866,0.29681299029172614,0.32527564333853054,0.36850652448519117,0.3573489951298262,0.4277338225312488,0.31617842328782986,0.3819705846419219,0.26347303971320646,0.39487396541508735
lognorm_prev_filt_DADA2,Host_Age,y,0.38668510336436535,0.4175390461265689,0.31867635912141845,0.4012245167441705,0.39357880373780696,0.3672584649686482,0.339255625874043,0.39968045903440974,0.44573074894715115,0.3096316504789217,0.4375493221005803,0.3507375039400412,0.42555196646369586,0.4659436914479811,0.44262519012393575,0.47214518128254146,0.4208863410958884,0.4320996209044138,0.2586085866633978,0.4290265936577323
